# entropy density for QED , [dp^{(n)}/dT] = MeV^3 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   dp^{(0)}/dT,   dp^{(2)non-log}/dT,   dp^{(2)log}/dT,   dp^{(3)}/dT,   dp^{(4)}/dT,   dp^{(5)}/dT
 5.731956758228e-03   +1.652174592589e-07   -6.1610e-46   +3.6628e-82   +5.0957e-63   -2.2148e-12   -2.9331e-13
 5.737111011776e-03   +1.656635575217e-07   -6.6840e-46   +4.2991e-82   +5.7452e-63   -2.2207e-12   -2.9410e-13
 5.742269900099e-03   +1.661108602799e-07   -7.2509e-46   +5.0453e-82   +6.4766e-63   -2.2267e-12   -2.9490e-13
 5.747433427365e-03   +1.665593707857e-07   -7.8653e-46   +5.9202e-82   +7.3005e-63   -2.2328e-12   -2.9569e-13
 5.752601597745e-03   +1.670090923000e-07   -8.5312e-46   +6.9457e-82   +8.2282e-63   -2.2388e-12   -2.9649e-13
 5.757774415414e-03   +1.674600280927e-07   -9.2527e-46   +8.1477e-82   +9.2729e-63   -2.2448e-12   -2.9729e-13
 5.762951884551e-03   +1.679121814424e-07   -1.0035e-45   +9.5564e-82   +1.0449e-62   -2.2509e-12   -2.9810e-13
 5.768134009339e-03   +1.683655556366e-07   -1.0882e-45   +1.1207e-81   +1.1773e-62   -2.2570e-12   -2.9890e-13
 5.773320793964e-03   +1.688201539717e-07   -1.1799e-45   +1.3141e-81   +1.3263e-62   -2.2631e-12   -2.9971e-13
 5.778512242617e-03   +1.692759797528e-07   -1.2794e-45   +1.5406e-81   +1.4941e-62   -2.2692e-12   -3.0052e-13
 5.783708359490e-03   +1.697330362942e-07   -1.3871e-45   +1.8060e-81   +1.6829e-62   -2.2753e-12   -3.0133e-13
 5.788909148783e-03   +1.701913269191e-07   -1.5038e-45   +2.1167e-81   +1.8953e-62   -2.2814e-12   -3.0214e-13
 5.794114614696e-03   +1.706508549595e-07   -1.6301e-45   +2.4805e-81   +2.1343e-62   -2.2876e-12   -3.0296e-13
 5.799324761435e-03   +1.711116237565e-07   -1.7670e-45   +2.9065e-81   +2.4033e-62   -2.2938e-12   -3.0378e-13
 5.804539593209e-03   +1.715736366604e-07   -1.9152e-45   +3.4051e-81   +2.7058e-62   -2.3000e-12   -3.0460e-13
 5.809759114231e-03   +1.720368970301e-07   -2.0757e-45   +3.9887e-81   +3.0460e-62   -2.3062e-12   -3.0542e-13
 5.814983328717e-03   +1.725014082341e-07   -2.2495e-45   +4.6716e-81   +3.4287e-62   -2.3124e-12   -3.0624e-13
 5.820212240888e-03   +1.729671736496e-07   -2.4377e-45   +5.4707e-81   +3.8590e-62   -2.3187e-12   -3.0707e-13
 5.825445854967e-03   +1.734341966630e-07   -2.6414e-45   +6.4056e-81   +4.3430e-62   -2.3249e-12   -3.0790e-13
 5.830684175184e-03   +1.739024806701e-07   -2.8620e-45   +7.4992e-81   +4.8870e-62   -2.3312e-12   -3.0873e-13
 5.835927205770e-03   +1.743720290754e-07   -3.1007e-45   +8.7782e-81   +5.4986e-62   -2.3375e-12   -3.0956e-13
 5.841174950960e-03   +1.748428452931e-07   -3.3591e-45   +1.0274e-80   +6.1862e-62   -2.3438e-12   -3.1040e-13
 5.846427414994e-03   +1.753149327463e-07   -3.6388e-45   +1.2023e-80   +6.9589e-62   -2.3501e-12   -3.1124e-13
 5.851684602115e-03   +1.757882948674e-07   -3.9415e-45   +1.4067e-80   +7.8273e-62   -2.3565e-12   -3.1208e-13
 5.856946516571e-03   +1.762629350980e-07   -4.2691e-45   +1.6457e-80   +8.8032e-62   -2.3628e-12   -3.1292e-13
 5.862213162611e-03   +1.767388568893e-07   -4.6236e-45   +1.9251e-80   +9.8997e-62   -2.3692e-12   -3.1377e-13
 5.867484544492e-03   +1.772160637014e-07   -5.0072e-45   +2.2515e-80   +1.1132e-61   -2.3756e-12   -3.1461e-13
 5.872760666470e-03   +1.776945590040e-07   -5.4223e-45   +2.6329e-80   +1.2516e-61   -2.3820e-12   -3.1546e-13
 5.878041532810e-03   +1.781743462762e-07   -5.8713e-45   +3.0785e-80   +1.4070e-61   -2.3884e-12   -3.1632e-13
 5.883327147776e-03   +1.786554290063e-07   -6.3570e-45   +3.5990e-80   +1.5816e-61   -2.3949e-12   -3.1717e-13
 5.888617515639e-03   +1.791378106922e-07   -6.8825e-45   +4.2069e-80   +1.7777e-61   -2.4014e-12   -3.1803e-13
