# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.044
# O_nu/mnu (eV) = 93.07
# s0 (cm^-3)    = 2906.92
# g_s0          = 3.930
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 in 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nue    T_gam/T_numu   g*             gs             a              z_gam          z_nue          z_numu         N              
3.6019237E-02  4.5289758E+00  1.0000158E+00  1.0000232E+00  1.0733190E+01  1.0731737E+01  1.1284600E-01  1.0001503E+00  1.0001345E+00  1.0001271E+00  1.6936631E-03  
3.6689067E-02  4.4874539E+00  1.0000165E+00  1.0000242E+00  1.0733113E+01  1.0731636E+01  1.1389051E-01  1.0001534E+00  1.0001370E+00  1.0001292E+00  1.7180106E-03  
3.7371357E-02  4.4463127E+00  1.0000172E+00  1.0000252E+00  1.0733034E+01  1.0731532E+01  1.1494469E-01  1.0001567E+00  1.0001395E+00  1.0001314E+00  1.7425580E-03  
3.8066340E-02  4.4055486E+00  1.0000179E+00  1.0000263E+00  1.0732952E+01  1.0731426E+01  1.1600865E-01  1.0001600E+00  1.0001420E+00  1.0001337E+00  1.7673016E-03  
3.8774252E-02  4.3651583E+00  1.0000187E+00  1.0000274E+00  1.0732869E+01  1.0731317E+01  1.1708246E-01  1.0001633E+00  1.0001446E+00  1.0001359E+00  1.7922477E-03  
3.9495333E-02  4.3251383E+00  1.0000195E+00  1.0000285E+00  1.0732784E+01  1.0731207E+01  1.1816621E-01  1.0001668E+00  1.0001473E+00  1.0001382E+00  1.8173942E-03  
4.0229829E-02  4.2854852E+00  1.0000203E+00  1.0000297E+00  1.0732697E+01  1.0731094E+01  1.1926001E-01  1.0001703E+00  1.0001499E+00  1.0001406E+00  1.8427316E-03  
4.0977990E-02  4.2461956E+00  1.0000212E+00  1.0000310E+00  1.0732608E+01  1.0730978E+01  1.2036394E-01  1.0001739E+00  1.0001527E+00  1.0001429E+00  1.8682534E-03  
4.1740070E-02  4.2072663E+00  1.0000221E+00  1.0000323E+00  1.0732516E+01  1.0730860E+01  1.2147810E-01  1.0001775E+00  1.0001554E+00  1.0001453E+00  1.8939545E-03  
4.2516328E-02  4.1686938E+00  1.0000230E+00  1.0000336E+00  1.0732422E+01  1.0730739E+01  1.2260258E-01  1.0001813E+00  1.0001583E+00  1.0001477E+00  1.9198307E-03  
